booking_id,user_id,car_id,start_date,end_date,total_price,status,pickup_location,return_location,created_at
1,1123,9533,2025-10-30,2025-11-02,767.32,completed,Boston,Boston,2025-10-31 11:23:27.142179
2,1798,6692,2025-10-30,2025-11-04,300.42,completed,Phoenix,Phoenix,2025-10-31 11:22:14.883857
3,371,8258,2025-10-30,2025-11-05,1268.92,upcoming,Phoenix,Phoenix,2025-10-31 11:21:07.462984
4,577,1419,2025-10-30,2025-11-01,221.46,completed,Los Angeles,Los Angeles,2025-10-31 11:26:40.549918
5,930,5021,2025-10-30,2025-11-01,316.24,completed,New York,New York,2025-10-31 11:25:46.187888
6,177,6537,2025-10-30,2025-11-04,372.69,completed,Los Angeles,Los Angeles,2025-10-31 11:21:12.579271
7,1471,2135,2025-10-30,2025-11-01,275.82,completed,Phoenix,Phoenix,2025-10-31 11:24:42.146233
8,1698,899,2025-10-30,2025-11-05,842.95,cancelled,Dallas,Dallas,2025-10-31 11:24:20.450857
9,469,6576,2025-10-30,2025-11-05,935.49,cancelled,Phoenix,Phoenix,2025-10-31 11:21:47.338025
10,1434,6994,2025-10-30,2025-11-01,173.0,completed,Chicago,Chicago,2025-10-31 11:21:11.962045
11,273,6042,2025-10-30,2025-11-03,787.49,completed,Atlanta,Atlanta,2025-10-31 11:24:36.062422
12,1463,2587,2025-10-30,2025-11-06,1203.34,upcoming,Dallas,Dallas,2025-10-31 11:22:39.115942
13,883,5506,2025-10-30,2025-11-03,165.71,upcoming,Phoenix,Phoenix,2025-10-31 11:22:34.922873
14,1265,8103,2025-10-30,2025-11-01,346.53,completed,Denver,Denver,2025-10-31 11:25:39.336053
15,169,7133,2025-10-30,2025-11-01,229.21,upcoming,Denver,Denver,2025-10-31 11:21:13.420558
16,1364,6856,2025-10-30,2025-11-02,624.49,upcoming,Denver,Denver,2025-10-31 11:21:11.237115
17,978,3920,2025-10-30,2025-11-05,809.81,completed,New York,New York,2025-10-31 11:22:48.211938
18,794,6392,2025-10-30,2025-11-01,158.42,completed,Los Angeles,Los Angeles,2025-10-31 11:21:33.048789
